db_id,assembly_accession,assembly_uid,genus_name,genus_db_id,genus_ncbi_id,species_name,species_db_id,species_ncbi_id
3539,GCF_000016585.1,37688,Shewanella,5,22,Shewanella putrefaciens,464,24
36756,GCF_000169215.2,376608,Shewanella,5,22,Shewanella putrefaciens,464,24
37465,GCF_001591325.1,705791,Shewanella,5,22,Shewanella putrefaciens,464,24
2113,GCF_000615045.1,139121,Shewanella,5,22,Shewanella algae,466,38313
33324,GCF_001598875.1,709881,Shewanella,5,22,Shewanella algae,466,38313
33854,GCF_000956365.1,313511,Shewanella,5,22,Shewanella algae,466,38313
36462,GCF_000947195.1,307421,Shewanella,5,22,Shewanella algae,466,38313
16922,GCF_000014705.1,35808,Shewanella,5,22,Shewanella frigidimarina,467,56812
25691,GCF_001529365.1,626041,Shewanella,5,22,Shewanella frigidimarina,467,56812
2069,GCF_000015845.1,36948,Shewanella,5,22,Shewanella baltica,465,62322
2647,GCF_000178875.2,359658,Shewanella,5,22,Shewanella baltica,465,62322
7595,GCF_000147735.2,376688,Shewanella,5,22,Shewanella baltica,465,62322
18177,GCF_000215895.1,376748,Shewanella,5,22,Shewanella baltica,465,62322
21813,GCF_000017325.1,38428,Shewanella,5,22,Shewanella baltica,465,62322
26683,GCF_000231345.1,469648,Shewanella,5,22,Shewanella baltica,465,62322
35918,GCF_000179535.2,395618,Shewanella,5,22,Shewanella baltica,465,62322
42919,GCF_000018765.1,39828,Shewanella,5,22,Shewanella baltica,465,62322
47476,GCF_000021665.1,42668,Shewanella,5,22,Shewanella baltica,465,62322
3323,GCF_000340515.1,628498,Myxococcus,8,32,Myxococcus xanthus,471,34
20897,GCF_000278585.1,621338,Myxococcus,8,32,Myxococcus xanthus,471,34
38318,GCF_000012685.1,33788,Myxococcus,8,32,Myxococcus xanthus,471,34
42826,GCF_000165485.1,265528,Stigmatella,9,40,Stigmatella aurantiaca,472,41
47465,GCF_000168055.1,204658,Stigmatella,9,40,Stigmatella aurantiaca,472,41
26580,GCF_001442745.1,582851,Lysobacter,14,68,Lysobacter antibioticus,500,84531
47954,GCF_001442535.1,582721,Lysobacter,14,68,Lysobacter antibioticus,500,84531
22920,GCF_000769985.1,218691,Lysobacter,14,68,Lysobacter defluvii,501,391738
27129,GCF_000423325.1,59161,Lysobacter,14,68,Lysobacter defluvii,501,391738
6433,GCF_000604005.2,629091,Lysobacter,14,68,Lysobacter capsici,499,435897
26181,GCF_000987985.1,329831,Lysobacter,14,68,Lysobacter capsici,499,435897
43964,GCF_001442785.1,582871,Lysobacter,14,68,Lysobacter capsici,499,435897
14940,GCF_000745545.1,206321,Caulobacter,16,75,Caulobacter henricii,504,69395
35214,GCF_000745595.1,206351,Caulobacter,16,75,Caulobacter henricii,504,69395
13916,GCF_000006905.1,28488,Caulobacter,16,75,Caulobacter vibrioides,503,155892
42762,GCF_000022005.1,42988,Caulobacter,16,75,Caulobacter vibrioides,503,155892
2005,GCF_000956315.1,313481,Borrelia,25,138,Borrelia hermsii,522,140
2267,GCF_000568675.1,117171,Borrelia,25,138,Borrelia hermsii,522,140
6900,GCF_001598195.1,709491,Borrelia,25,138,Borrelia hermsii,522,140
15877,GCF_000568775.1,117221,Borrelia,25,138,Borrelia hermsii,522,140
29422,GCF_000568795.1,117231,Borrelia,25,138,Borrelia hermsii,522,140
44386,GCF_000012065.2,502178,Borrelia,25,138,Borrelia hermsii,522,140
2187,GCF_000512145.1,91401,Borrelia,25,138,Borrelia parkeri,523,141
7276,GCF_000568735.1,117201,Borrelia,25,138,Borrelia parkeri,523,141
2732,GCF_000518125.1,91741,Borrelia,25,138,Borrelia coriaceae,524,144
43699,GCF_000568755.1,117211,Borrelia,25,138,Borrelia coriaceae,524,144
6491,GCF_000259345.1,378938,Borrelia,25,138,Borrelia crocidurae,525,29520
24470,GCF_000825665.1,246581,Borrelia,25,138,Borrelia crocidurae,525,29520
33263,GCF_000568715.1,117191,Borrelia,25,138,Borrelia crocidurae,525,29520
36209,GCF_000019685.1,40728,Borrelia,25,138,Borrelia duttonii,527,40834
37071,GCF_000523535.1,94531,Borrelia,25,138,Borrelia duttonii,527,40834
2090,GCF_000445425.4,577641,Borrelia,25,138,Borrelia miyamotoi,526,47466
39120,GCF_000807295.1,237201,Borrelia,25,138,Borrelia miyamotoi,526,47466
47516,GCF_000568695.1,117181,Borrelia,25,138,Borrelia miyamotoi,526,47466
2702,GCF_000184345.1,376808,Spirochaeta,29,146,Spirochaeta thermophila,531,154
9914,GCF_000147075.1,274918,Spirochaeta,29,146,Spirochaeta thermophila,531,154
3278,GCF_000338515.1,58061,Treponema,34,157,Treponema denticola,538,158
4829,GCF_000413115.1,716268,Treponema,34,157,Treponema denticola,538,158
6592,GCF_000340725.1,556008,Treponema,34,157,Treponema denticola,538,158
11959,GCF_000338455.1,58091,Treponema,34,157,Treponema denticola,538,158
14200,GCF_000340645.1,556048,Treponema,34,157,Treponema denticola,538,158
15301,GCF_000338475.1,58081,Treponema,34,157,Treponema denticola,538,158
17072,GCF_000340745.1,544198,Treponema,34,157,Treponema denticola,538,158
20320,GCF_000413095.1,716288,Treponema,34,157,Treponema denticola,538,158
22627,GCF_000340705.1,556088,Treponema,34,157,Treponema denticola,538,158
24215,GCF_000340605.1,556068,Treponema,34,157,Treponema denticola,538,158
36823,GCF_000008185.1,29768,Treponema,34,157,Treponema denticola,538,158
37165,GCF_000338635.1,544178,Treponema,34,157,Treponema denticola,538,158
37578,GCF_000338615.1,58071,Treponema,34,157,Treponema denticola,538,158
37782,GCF_000413075.1,708328,Treponema,34,157,Treponema denticola,538,158
37963,GCF_000340685.1,556028,Treponema,34,157,Treponema denticola,538,158
47972,GCF_000338595.1,58531,Treponema,34,157,Treponema denticola,538,158
3606,GCF_000410555.1,706498,Treponema,34,157,Treponema pallidum,539,160
9663,GCF_000246775.1,360238,Treponema,34,157,Treponema pallidum,539,160
9767,GCF_000246815.1,360218,Treponema,34,157,Treponema pallidum,539,160
10072,GCF_000246795.1,360198,Treponema,34,157,Treponema pallidum,539,160
11152,GCF_000017825.1,38928,Treponema,34,157,Treponema pallidum,539,160
13446,GCF_001628695.1,729541,Treponema,34,157,Treponema pallidum,539,160
22069,GCF_000813285.1,240301,Treponema,34,157,Treponema pallidum,539,160
22300,GCF_000304295.1,440688,Treponema,34,157,Treponema pallidum,539,160
22799,GCF_000008605.1,30188,Treponema,34,157,Treponema pallidum,539,160
25018,GCF_000604125.1,134521,Treponema,34,157,Treponema pallidum,539,160
32212,GCF_000387485.1,653528,Treponema,34,157,Treponema pallidum,539,160
36530,GCF_000024485.1,371498,Treponema,34,157,Treponema pallidum,539,160
39277,GCF_000246755.1,360178,Treponema,34,157,Treponema pallidum,539,160
7906,GCF_000944995.1,306431,Treponema,34,157,Treponema phagedenis,540,162
