db_id,name,rank,parent_id,ncbi_id,threshold
101,Acetobacter,genus,,434,0.9275382280349732
50,Achromobacter,genus,,222,0.8978877037763595
222,Acidaminococcus,genus,,904,0.145308643579483
128,Acidiphilium,genus,,522,0.012114685960114
352,Acidipropionibacterium,genus,,1912215,0.3916186392307281
292,Acidithiobacillus,genus,,119977,0.9435011595487596
156,Acidovorax,genus,,12916,0.9184736222028732
111,Acinetobacter,genus,,469,0.917154386639595
443,Actinoalloteichus,genus,,65496,0.1465880423784256
179,Actinobacillus,genus,,713,0.8921291828155518
266,Actinobaculum,genus,,76833,0.0211345944553613
392,Actinomyces,genus,,1654,0.9320690870285032
105,Actinotignum,genus,,1653174,0.0039914031513035
336,Aerococcus,genus,,1375,0.9374521434307098
160,Aeromonas,genus,,642,0.9284255892038344
288,Aggregatibacter,genus,,416916,0.9221957147121428
243,Agrilactobacillus,genus,,2767875,0.0104730520397424
81,Agrobacterium,genus,,357,0.9212276637554168
70,Akkermansia,genus,,239934,0.2524214088916778
123,Alcaligenes,genus,,507,0.9090211391448976
405,Algibacter,genus,,261827,0.3643771708011627
92,Alicycliphilus,genus,,201096,0.4314164519309997
404,Aliivibrio,genus,,511678,0.941011780500412
138,Alkalihalobacillus,genus,,2675234,0.9442533016204834
181,Altererythrobacter,genus,,361177,0.0004829751269426
52,Alteromonas,genus,,226,0.9373199820518492
418,Amycolatopsis,genus,,1813,0.9178166091442108
440,Anaerococcus,genus,,165779,0.9175290137529372
93,Anaerostipes,genus,,207244,0.5115271806716919
188,Anaplasma,genus,,768,0.9474623769521712
422,Aneurinibacillus,genus,,55079,0.3078718185424804
183,Anoxybacillus,genus,,150247,0.0052726338617503
289,Aphanizomenon,genus,,1175,0.6120889782905579
244,Apilactobacillus,genus,,2767877,0.7693008184432983
375,Arcobacter,genus,,28196,0.942394208908081
130,Ardenticatena,genus,,1382931,0.0044766901992261
274,Arenimonas,genus,,490567,0.9244585394859314
240,Arthrospira,genus,,35823,0.1447578519582748
277,Asticcacaulis,genus,,76890,0.0090103736147284
339,Atopobium,genus,,1380,0.1930403858423233
450,Aurantimonas,genus,,182269,0.6483333110809326
167,Aureimonas,genus,,414371,0.9201525449752808
395,Avibacterium,genus,,292486,0.5280898809432983
43,Azospirillum,genus,,191,0.9256535977125168
80,Azotobacter,genus,,352,0.2133098840713501
340,Bacillus,genus,,1386,0.8960155874490737
202,Bacteroides,genus,,816,0.912254336476326
191,Bartonella,genus,,773,0.9459370851516724
205,Bellilinea,genus,,475960,0.0023242300376296
76,Bergeyella,genus,,59735,0.4764420986175537
342,Bibersteinia,genus,,476528,0.4005242586135864
396,Bifidobacterium,genus,,1678,0.9268483728170396
241,Bilophila,genus,,35832,0.3631796836853027
439,Blastochloris,genus,,59282,0.0009044862235896
279,Blautia,genus,,572511,0.9291952282190322
125,Bordetella,genus,,517,0.8978877037763595
25,Borrelia,genus,,138,0.9370903134346008
346,Borreliella,genus,,64895,0.8901554346084595
215,Brachyspira,genus,,29521,0.9424417734146118
84,Bradyrhizobium,genus,,374,0.9255605638027192
423,Brevibacillus,genus,,55080,0.9379675388336182
399,Brevibacterium,genus,,1696,0.9261888682842254
67,Brevundimonas,genus,,41275,0.4556882381439209
178,Brochothrix,genus,,2755,0.0118294917047023
53,Brucella,genus,,234,0.8435227751731872
361,Buchnera,genus,,32199,0.9456360697746276
319,Burkholderia,genus,,32008,0.9237763851881028
207,Butyrivibrio,genus,,830,0.94498653113842
88,Caballeronia,genus,,1827195,0.1276300102472305
403,Caldanaerobacter,genus,,249529,0.5098634362220764
91,Caldibacillus,genus,,1276290,0.3627764284610748
45,Campylobacter,genus,,194,0.9348789036273956
397,Candidatus Hamiltonella,genus,,568987,0.592997133731842
236,Candidatus Microthrix,genus,,41949,0.2925045788288116
40,Candidatus Moranella,genus,,1048757,0.0084656085819005
389,Candidatus Pelagibacter,genus,,198251,0.5533141493797302
