src_index,src_id,assembly_uid,assembly_accession,organism,taxid,ftp_path,md5,filename
1,refseq-NZ-1115511-PRJNA224116-SAMD00019863-GCF_000759775.1-.-Escherichia_albertii_NBRC_107761.fna,213661,GCF_000759775.1,Escherichia albertii NBRC 107761 (enterobacteria),1115511,genomes/all/GCF/000/759/775/GCF_000759775.1_ASM75977v1/GCF_000759775.1_ASM75977v1_genomic.fna.gz,98002a399c4d4adda4a19dc648a71a6f,GCF_000759775.1.fa.gz
3,refseq-NZ-1115515-PRJNA224116-SAMD00018687-GCF_000759795.1-.-Escherichia_vulneris_NBRC_102420.fna,213671,GCF_000759795.1,Pseudescherichia vulneris NBRC 102420 (enterobacteria),1115515,genomes/all/GCF/000/759/795/GCF_000759795.1_ASM75979v1/GCF_000759795.1_ASM75979v1_genomic.fna.gz,c22ef584cea1b36efb60f40cfd870290,GCF_000759795.1.fa.gz
4,refseq-NZ-1169321-PRJNA224116-SAMN00847639-GCF_000407765.1-.-Escherichia_sp._KTE114.fna,702128,GCF_000407765.1,Escherichia sp. KTE114 (enterobacteria),1169321,genomes/all/GCF/000/407/765/GCF_000407765.1_Esch_coli_KTE114_V1/GCF_000407765.1_Esch_coli_KTE114_V1_genomic.fna.gz,97b36a33643c5d41d55906f00e788679,GCF_000407765.1.fa.gz
5,refseq-NZ-1169331-PRJNA224116-SAMN00847649-GCF_000350705.1-.-Escherichia_sp._KTE11.fna,575668,GCF_000350705.1,Escherichia sp. KTE11 (enterobacteria),1169331,genomes/all/GCF/000/350/705/GCF_000350705.1_Esch_coli_KTE11_V1/GCF_000350705.1_Esch_coli_KTE11_V1_genomic.fna.gz,86195b2ffefb1589baa0ccd534357bde,GCF_000350705.1.fa.gz
6,refseq-NZ-1169349-PRJNA224116-SAMN00847667-GCF_000407925.1-.-Escherichia_sp._KTE31.fna,702268,GCF_000407925.1,Escherichia sp. KTE31 (enterobacteria),1169349,genomes/all/GCF/000/407/925/GCF_000407925.1_Esch_coli_KTE31_V1/GCF_000407925.1_Esch_coli_KTE31_V1_genomic.fna.gz,e6d9dbe15784779b7c32ac4386da0da1,GCF_000407925.1.fa.gz
7,refseq-NZ-1182659-PRJNA224116-SAMN00854611-GCF_000408325.1-.-Escherichia_sp._KTE52.fna,710128,GCF_000408325.1,Escherichia sp. KTE52 (enterobacteria),1182659,genomes/all/GCF/000/408/325/GCF_000408325.1_Esch_coli_KTE52_V1/GCF_000408325.1_Esch_coli_KTE52_V1_genomic.fna.gz,3b57e1e26cb41a0482b424b9e8ec3ea2,GCF_000408325.1.fa.gz
8,refseq-NZ-1182697-PRJNA224116-SAMN00854649-GCF_000408525.1-.-Escherichia_sp._KTE96.fna,702848,GCF_000408525.1,Escherichia sp. KTE96 (enterobacteria),1182697,genomes/all/GCF/000/408/525/GCF_000408525.1_Esch_coli_KTE96_V1/GCF_000408525.1_Esch_coli_KTE96_V1_genomic.fna.gz,9c05d0dfa94906780e5413cabfdb6a44,GCF_000408525.1.fa.gz
9,refseq-NZ-1182732-PRJNA224116-SAMN00854684-GCF_000408805.1-.-Escherichia_sp._KTE159.fna,703128,GCF_000408805.1,Escherichia sp. KTE159 (enterobacteria),1182732,genomes/all/GCF/000/408/805/GCF_000408805.1_Esch_coli_KTE159_V1/GCF_000408805.1_Esch_coli_KTE159_V1_genomic.fna.gz,0588fa939d1b1c11d449a71e63625fcb,GCF_000408805.1.fa.gz
10,refseq-NZ-1279005-PRJNA224116-SAMN01883166-GCF_000408845.1-.-Escherichia_sp._KTE172.fna,703168,GCF_000408845.1,Escherichia sp. KTE172 (enterobacteria),1279005,genomes/all/GCF/000/408/845/GCF_000408845.1_Esch_coli_KTE172_V1/GCF_000408845.1_Esch_coli_KTE172_V1_genomic.fna.gz,6ecc457676f261f25acbef487bc7f9b4,GCF_000408845.1.fa.gz
11,refseq-NZ-1440052-PRJNA224116-SAMN02641387-GCF_000512125.1-.-Escherichia_albertii_KF1.fna,88561,GCF_000512125.1,Escherichia albertii KF1 (enterobacteria),1440052,genomes/all/GCF/000/512/125/GCF_000512125.1_ASM51212v1/GCF_000512125.1_ASM51212v1_genomic.fna.gz,c2b5845a39172b6babdb6f7425c2b743,GCF_000512125.1.fa.gz
12,refseq-NZ-1499973-PRJNA224116-SAMN02777259-GCF_000807695.1-.-Escherichia_sp._HT073016.fna,247161,GCF_000807695.1,Escherichia marmotae (enterobacteria),1499973,genomes/all/GCF/000/807/695/GCF_000807695.1_ASM80769v3/GCF_000807695.1_ASM80769v3_genomic.fna.gz,04b74d4638360ce0079fd3b7bbc643e3,GCF_000807695.1.fa.gz
13,refseq-NZ-457400-PRJNA224116-SAMN02463703-GCF_000159895.2-.-Escherichia_sp._1_1_43.fna,438978,GCF_000159895.2,Escherichia sp. 1_1_43 (enterobacteria),457400,genomes/all/GCF/000/159/895/GCF_000159895.2_Escherichia_sp_1_1_43_V2/GCF_000159895.2_Escherichia_sp_1_1_43_V2_genomic.fna.gz,dde638f3d377356519f1cbdafb177496,GCF_000159895.2.fa.gz
