index,id,assembly_uid,assembly_accession,organism,url,file,md5
1,refseq-NZ-1115511-PRJNA224116-SAMD00019863-GCF_000759775.1-.-Escherichia_albertii_NBRC_107761.fna,213661,GCF_000759775.1,Escherichia albertii NBRC 107761 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/775/GCF_000759775.1_ASM75977v1/GCF_000759775.1_ASM75977v1_genomic.fna.gz,GCF_000759775.1.fasta.gz,98002a399c4d4adda4a19dc648a71a6f
3,refseq-NZ-1115515-PRJNA224116-SAMD00018687-GCF_000759795.1-.-Escherichia_vulneris_NBRC_102420.fna,213671,GCF_000759795.1,Pseudescherichia vulneris NBRC 102420 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/795/GCF_000759795.1_ASM75979v1/GCF_000759795.1_ASM75979v1_genomic.fna.gz,GCF_000759795.1.fasta.gz,c22ef584cea1b36efb60f40cfd870290
4,refseq-NZ-1169321-PRJNA224116-SAMN00847639-GCF_000407765.1-.-Escherichia_sp._KTE114.fna,702128,GCF_000407765.1,Escherichia sp. KTE114 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/765/GCF_000407765.1_Esch_coli_KTE114_V1/GCF_000407765.1_Esch_coli_KTE114_V1_genomic.fna.gz,GCF_000407765.1.fasta.gz,97b36a33643c5d41d55906f00e788679
5,refseq-NZ-1169331-PRJNA224116-SAMN00847649-GCF_000350705.1-.-Escherichia_sp._KTE11.fna,575668,GCF_000350705.1,Escherichia sp. KTE11 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/705/GCF_000350705.1_Esch_coli_KTE11_V1/GCF_000350705.1_Esch_coli_KTE11_V1_genomic.fna.gz,GCF_000350705.1.fasta.gz,86195b2ffefb1589baa0ccd534357bde
6,refseq-NZ-1169349-PRJNA224116-SAMN00847667-GCF_000407925.1-.-Escherichia_sp._KTE31.fna,702268,GCF_000407925.1,Escherichia sp. KTE31 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/925/GCF_000407925.1_Esch_coli_KTE31_V1/GCF_000407925.1_Esch_coli_KTE31_V1_genomic.fna.gz,GCF_000407925.1.fasta.gz,e6d9dbe15784779b7c32ac4386da0da1
7,refseq-NZ-1182659-PRJNA224116-SAMN00854611-GCF_000408325.1-.-Escherichia_sp._KTE52.fna,710128,GCF_000408325.1,Escherichia sp. KTE52 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/408/325/GCF_000408325.1_Esch_coli_KTE52_V1/GCF_000408325.1_Esch_coli_KTE52_V1_genomic.fna.gz,GCF_000408325.1.fasta.gz,3b57e1e26cb41a0482b424b9e8ec3ea2
8,refseq-NZ-1182697-PRJNA224116-SAMN00854649-GCF_000408525.1-.-Escherichia_sp._KTE96.fna,702848,GCF_000408525.1,Escherichia sp. KTE96 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/408/525/GCF_000408525.1_Esch_coli_KTE96_V1/GCF_000408525.1_Esch_coli_KTE96_V1_genomic.fna.gz,GCF_000408525.1.fasta.gz,9c05d0dfa94906780e5413cabfdb6a44
9,refseq-NZ-1182732-PRJNA224116-SAMN00854684-GCF_000408805.1-.-Escherichia_sp._KTE159.fna,703128,GCF_000408805.1,Escherichia sp. KTE159 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/408/805/GCF_000408805.1_Esch_coli_KTE159_V1/GCF_000408805.1_Esch_coli_KTE159_V1_genomic.fna.gz,GCF_000408805.1.fasta.gz,0588fa939d1b1c11d449a71e63625fcb
10,refseq-NZ-1279005-PRJNA224116-SAMN01883166-GCF_000408845.1-.-Escherichia_sp._KTE172.fna,703168,GCF_000408845.1,Escherichia sp. KTE172 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/408/845/GCF_000408845.1_Esch_coli_KTE172_V1/GCF_000408845.1_Esch_coli_KTE172_V1_genomic.fna.gz,GCF_000408845.1.fasta.gz,6ecc457676f261f25acbef487bc7f9b4
11,refseq-NZ-1440052-PRJNA224116-SAMN02641387-GCF_000512125.1-.-Escherichia_albertii_KF1.fna,88561,GCF_000512125.1,Escherichia albertii KF1 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/125/GCF_000512125.1_ASM51212v1/GCF_000512125.1_ASM51212v1_genomic.fna.gz,GCF_000512125.1.fasta.gz,c2b5845a39172b6babdb6f7425c2b743
