id,n_contigs,total_length,N50,L50
16AC1611137-CAP,348,3434497,35747,32
16AC1611138-CAP,565,4813511,17665,77
16AC1611139-CAP,440,4913689,21891,68
16AC1611140-CAP,719,2482152,10893,65
16AC1611141-CAP,723,4220639,16365,78
16AC1611140BCAP,3190,4186744,30935,25
17AC0001408,157,1964529,36903,18
17AC0001409,543,4305763,19306,64
17AC0001410,526,4827178,19689,71
17AC0001410A,570,2985418,12315,73
17AC0001411B,228,2753607,33968,27
17AC0001412BR,433,2048379,10044,66
17AC0003893,243,1891928,19141,31
17AC0003894N,144,1774211,21726,28
17AC0003892A,2553,6419023,5025,347
17AC0006310,2339,5236288,6518,195
17AC0006311,118,1808596,42681,12
17AC0006312,310,2473779,24539,30
17AC0006313A,278,2274095,22875,29
17AC0006313-1,283,2072538,22373,28
17AC0006314,2493,6088600,5104,324
17AC0006312-1,764,2385207,15093,44
17AC0012453,236,2807399,41016,26
17AC0012454,400,1969189,15195,38
17AC0012455-1AN,436,1805667,15791,29
17AC0012456-2,566,3808686,16633,76
17AC0012457-1,511,2738758,16082,52
17AC0012457-2,382,2453657,20159,40
17AC0012455-1A,1826,2371946,35349,18
18AC0002824,470,2190699,8557,79
18AC0002825-1,758,4682209,13651,104
18AC0002825-2,1214,2211947,5571,91
18AC0002826,195,2013578,34655,20
18AC0002827,1476,4999553,7410,202
18AC0002828,207,2872009,40333,21
18AC0007008CHO,606,4815139,16338,89
18AC0007009CHO,873,4388563,10338,130
18AC0007010CHO,870,5337224,15260,97
18AC0012150R,289,4024985,28192,42
18AC0012151B1,508,3261293,15380,65
18AC0012151C2,243,2476542,38786,20
18AC0012152,229,1887508,22159,28
18AC0012153B1,4112,2369832,1009,475
18AC0012153M,935,4768858,11744,124
18AC0012154M,393,4809687,26149,57
18AC0017656,143,1768110,20532,30
18AC0017657,236,1884783,19275,31
18AC0017658,927,4362125,8775,147
18AC0018934,766,4876794,15076,99
18AC0018935,1054,5867697,12933,131
18AC0018936-2,1498,2443962,3831,177
18AC0018936-ANO2,1200,5305178,13374,115
18AC0018938-1,843,4855576,16328,91
18AC0018937-BA,219,2114726,39279,16
18AC0018937-BAP,1069,3779675,10125,111
18AC0018937,204,2109915,34842,16
19AC0002347,1984,4664433,4057,303
19AC0002348,544,2113515,7407,86
19AC0002349,887,5203589,12131,125
19AC0002350,1099,4586503,10186,134
19AC0002351,873,2382572,8364,75
19AC0002349B2,646,5202389,17736,90
19AC0006459,1776,6514693,7627,239
19AC0006460,673,5329882,19493,78
19AC0006461,227,1890245,23069,26
19AC0011211-1,696,3740723,14569,80
19AC0011211-2,465,2978857,17068,49
19AC0011212,306,1898929,14099,43
19AC0011212ANO,619,2460467,20683,36
19AC0011213,1093,4759936,9936,140
19AC0011209-1,6156,8589141,3124,612
19AC0011209PEA,4652,3478657,23268,26
19AC0011210,319,1874280,14618,36
19AC0015929,1023,4363684,8290,151
19AC0015930,1159,4336068,8644,159
19AC0015931,723,4990629,19964,84
19AC0016708,996,5795620,12208,144
19AC0016709,1010,3820764,10214,113
19AC0016710,249,1788508,29441,20
19AC0016711,243,2563002,33958,22
19AC0016712,591,2693869,18217,46
20AC0000919-C1,752,5582905,20976,69
20AC0000920-B1,930,6635643,17465,113
20AC0000920-B2,1029,2357903,10538,54
20AC0000921-B,852,2752523,14745,48
20AC0000922-BO2,337,2050364,22589,30
20AC0000922-C2ANO2,2586,6235421,6081,295
20AC0000923-C,457,2544941,16625,42
