group,strain,assembly_uid,assembly_accession,organism,taxid,ftp_path,md5
Enterics,E. coli O157:H7 Sakai,1755381,GCF_000008865.2,Escherichia coli O157:H7 str. Sakai (E. coli),386585,genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2/GCF_000008865.2_ASM886v2_genomic.fna.gz,e7bf4b6a0fa4cbd17a2cac69125311e0
Enterics,E. coli 0157:H7 EDL933,199821,GCF_000732965.1,Escherichia coli O157:H7 str. EDL933 (E. coli),155864,genomes/all/GCF/000/732/965/GCF_000732965.1_ASM73296v1/GCF_000732965.1_ASM73296v1_genomic.fna.gz,c16ebef14b4b9536207b545b80e0b2e5
Enterics,E. coli K12,79781,GCF_000005845.2,Escherichia coli str. K-12 substr. MG1655 (E. coli),511145,genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna.gz,c13d459b5caa702ff7e1f26fe44b8ad7
Enterics,E. coli CFT073,7926251,GCF_014262945.1,Escherichia coli CFT073 (E. coli),199310,genomes/all/GCF/014/262/945/GCF_014262945.1_ASM1426294v1/GCF_014262945.1_ASM1426294v1_genomic.fna.gz,f6298a2a3a9426dc59d15aac8b5e9e85
Enterics,S. flexneri 2a 2457,28988,GCF_000007405.1,Shigella flexneri 2a str. 2457T (enterobacteria),198215,genomes/all/GCF/000/007/405/GCF_000007405.1_ASM740v1/GCF_000007405.1_ASM740v1_genomic.fna.gz,1b42e457555b9d39c7fdca4aa1acc373
Enterics,S. flexneri 2a 301,326318,GCF_000006925.2,Shigella flexneri 2a str. 301 (enterobacteria),198214,genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2/GCF_000006925.2_ASM692v2_genomic.fna.gz,12045858131b870a391def6237226925
Enterics,S. typhimurium LT2,619341,GCF_000006945.2,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (enterobacteria),99287,genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2/GCF_000006945.2_ASM694v2_genomic.fna.gz,3d4db127af17ce499dfec8cad09d4323
Enterics,S. enterica ser. Typhi Ty2,29128,GCF_000007545.1,Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (enterobacteria),209261,genomes/all/GCF/000/007/545/GCF_000007545.1_ASM754v1/GCF_000007545.1_ASM754v1_genomic.fna.gz,839f73e9ac38cac70bd6126d4732deed
Enterics,S. enterica ser. Typhi,1904971,GCF_003429465.1,Salmonella enterica subsp. enterica serovar Typhi (enterobacteria),90370,genomes/all/GCF/003/429/465/GCF_003429465.1_ASM342946v1/GCF_003429465.1_ASM342946v1_genomic.fna.gz,b08d2d9e2a487e7b5a9ede74a7d3a336
Enterics,S. bongori 12419,441718,GCF_000252995.1,Salmonella bongori NCTC 12419 (enterobacteria),218493,genomes/all/GCF/000/252/995/GCF_000252995.1_ASM25299v1/GCF_000252995.1_ASM25299v1_genomic.fna.gz,8d34bb789220ecd3a26a1ace2d5898d0
Enterics,Y. pestis Kim,28228,GCF_000006645.1,Yersinia pestis KIM10+ (enterobacteria),187410,genomes/all/GCF/000/006/645/GCF_000006645.1_ASM664v1/GCF_000006645.1_ASM664v1_genomic.fna.gz,78eec9f0a6ff8b2bc86eca9746f16c32
